,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
643,HD 192310 c,29.0,24 Earths,5.73,2011,Neptune-like,2011,24 Earths,0.469 x Jupiter,1.18 AU,HAT-P-7,Transit,83.11,,19h28m59.35s,+47d58m10.2s,6389.0,1.56,2.0
644,HD 192699 b,235.0,2.096 Jupiters,6.44,2007,Gas Giant,2007,2.096 Jupiters,1.19 x Jupiter,1.063 AU,,,,,,,,,
645,HD 195019 b,123.0,3.98 Jupiters,6.87,1998,Gas Giant,1998,3.98 Jupiters,1.16 x Jupiter,0.14 AU,HAT-P-70,Transit,96.5,1.54,04h58m12.560s,+09d59m52.726s,8450.0,1.89,1.86
646,HD 196050 b,166.0,3.18 Jupiters,7.5,2002,Gas Giant,2002,3.18 Jupiters,1.17 x Jupiter,2.51 AU,,,,,,,,,
647,HD 196067 b,130.0,6.9 Jupiters,6.03,2012,Gas Giant,2012,6.9 Jupiters,1.13 x Jupiter,5.02 AU,HAT-P-8,Transit,87.8,,22h52m09.86s,+35d26m49.6s,6200.0,1.27,1.57
648,HD 196885 A b,112.0,2.58 Jupiters,6.398,2007,Gas Giant,2007,2.58 Jupiters,1.18 x Jupiter,2.37 AU,,,,,,,,,
649,HD 197037 b,108.0,0.79 Jupiters,6.809,2012,Gas Giant,2012,0.79 Jupiters,1.24 x Jupiter,2.07 AU,HAT-P-9,Transit,86.44,0.342,07h20m40.45s,+37d08m26.3s,6350.0,1.28,1.34
650,HD 19994 b,74.0,1.37 Jupiters,5.06,2003,Gas Giant,2003,1.37 Jupiters,1.21 x Jupiter,1.305 AU,,,,,,,,,
651,HD 20003 b,143.0,11.66 Earths,8.39,2019,Neptune-like,2019,11.66 Earths,0.306 x Jupiter,0.0974 AU,HATS-1,Transit,85.6,1.03,11h42m06.08s,-23d21m17.4s,5870.0,0.99,1.04
652,HD 20003 c,143.0,14.44 Earths,8.39,2019,Neptune-like,2019,14.44 Earths,0.347 x Jupiter,0.1964 AU,,,,,,,,,
653,HD 200964 b,237.0,1.599 Jupiters,6.48,2010,Gas Giant,2010,1.599 Jupiters,1.21 x Jupiter,1.565 AU,HATS-10,Transit,87.79,0.7,19h37m13.64s,-22d12m16.1s,5880.0,1.1,1.1
654,HD 200964 c,237.0,1.214 Jupiters,6.48,2010,Gas Giant,2010,1.214 Jupiters,1.22 x Jupiter,1.96 AU,,,,,,,,,
655,HD 202206 c,150.0,17.9 Jupiters,8.08,2004,Gas Giant,2004,17.9 Jupiters,1.08 x Jupiter,2.41 AU,HATS-11,Transit,,,19h17m36.18s,-22d23m23.7s,6563.0,1.33,1.54
656,HD 202696 b,618.0,1.996 Jupiters,8.23,2019,Gas Giant,2019,1.996 Jupiters,Unknown,1.566 AU,,,,,,,,,
657,HD 202696 c,618.0,1.864 Jupiters,8.23,2019,Gas Giant,2019,1.864 Jupiters,Unknown,2.342 AU,HATS-12,Transit,,,19h16m48.57s,-19d21m21.3s,6357.0,1.16,1.17
658,HD 202772 A b,480.0,1.017 Jupiters,8.227,2019,Gas Giant,2019,1.017 Jupiters,1.545 x Jupiter,0.05208 AU,,,,,,,,,
659,HD 203030 b,128.0,24.09 Jupiters,8.425,2006,Gas Giant,2006,24.09 Jupiters,1.07 x Jupiter,487.1 AU,HATS-13,Transit,88.55,0.377,21h07m50.75s,-26d05m48.0s,5523.0,0.96,0.89
660,HD 203473 b,237.0,7.8 Jupiters,8.23,2018,Gas Giant,2018,7.8 Jupiters,1.12 x Jupiter,2.73 AU,,,,,,,,,
661,HD 2039 b,280.0,6.29 Jupiters,9.0,2002,Gas Giant,2002,6.29 Jupiters,1.14 x Jupiter,2.2 AU,HATS-14,Transit,88.83,1.191,20h52m51.71s,-25d41m14.4s,5346.0,0.97,0.93
662,HD 204313 b,156.0,3.46 Jupiters,7.99,2010,Gas Giant,2010,3.46 Jupiters,1.17 x Jupiter,3.07 AU,,,,,,,,,
663,HD 204313 c,156.0,17.6 Earths,7.99,2015,Neptune-like,2015,17.6 Earths,0.39 x Jupiter,0.2099 AU,HATS-15,Transit,87.13,1.97,20h44m22.07s,-19d26m15.0s,5311.0,0.87,0.92
664,HD 204941 b,94.0,0.23 Jupiters,8.45,2011,Gas Giant,2011,0.23 Jupiters,0.903 x Jupiter,2.55 AU,,,,,,,,,
665,HD 205739 b,303.0,1.37 Jupiters,8.56,2008,Gas Giant,2008,1.37 Jupiters,1.21 x Jupiter,0.896 AU,HATS-16,Transit,83.53,1.86,23h54m14.09s,-30d00m46.8s,5738.0,0.97,1.24
666,HD 206255 b,246.0,34.2 Earths,7.618,2019,Neptune-like,2019,34.2 Earths,0.577 x Jupiter,0.461 AU,,,,,,,,,
667,HD 206610 b,482.0,2.036 Jupiters,8.34,2009,Gas Giant,2009,2.036 Jupiters,1.19 x Jupiter,1.74 AU,HATS-17,Transit,89.08,3.5,12h48m45.55s,-47d36m49.3s,5846.0,1.13,1.09
668,HD 20781 b,115.0,1.93 Earths,8.48,2019,Super Earth,2019,1.93 Earths,1.21 x Earth,0.0529 AU,,,,,,,,,
669,HD 20781 c,115.0,5.33 Earths,8.48,2019,Neptune-like,2019,5.33 Earths,2.17 x Earth,0.1004 AU,HATS-18,Transit,85.29,1.1169,11h35m49.78s,-29d09m21.6s,5600.0,1.04,1.02
670,HD 20781 d,115.0,10.61 Earths,8.48,2019,Neptune-like,2019,10.61 Earths,0.29 x Jupiter,0.1647 AU,,,,,,,,,
671,HD 20781 e,115.0,14.03 Earths,8.48,2019,Neptune-like,2019,14.03 Earths,0.342 x Jupiter,0.3374 AU,HATS-2,Transit,87.2,1.05,11h46m57.38s,-22d33m46.8s,5227.0,0.88,0.9
672,HD 20782 b,117.0,1.4878 Jupiters,7.4,2006,Gas Giant,2006,1.4878 Jupiters,1.21 x Jupiter,1.3649 AU,,,,,,,,,
673,HD 207832 b,193.0,0.56 Jupiters,8.78,2012,Gas Giant,2012,0.56 Jupiters,1.26 x Jupiter,0.586 AU,HATS-22,Transit,87.96,3.89,11h36m02.33s,-29d32m35.9s,4803.0,0.76,0.69
674,HD 207832 c,193.0,0.73 Jupiters,8.78,2012,Gas Giant,2012,0.73 Jupiters,1.25 x Jupiter,2.112 AU,,,,,,,,,
675,HD 20794 b,20.0,2.7 Earths,4.27,2011,Super Earth,2011,2.7 Earths,1.45 x Earth,0.1207 AU,HATS-23,Transit,81.02,0.29,19h05m28.01s,-50d04m02.5s,5780.0,1.12,1.2
676,HD 20794 c,20.0,2.4 Earths,4.27,2011,Super Earth,2011,2.4 Earths,1.35 x Earth,0.2036 AU,,,,,,,,,
677,HD 20794 d,20.0,4.8 Earths,4.27,2011,Super Earth,2011,4.8 Earths,2.04 x Earth,0.3499 AU,HATS-24,Transit,85.97,1.03,17h55m33.76s,-61d44m50.3s,6125.0,1.07,1.12
678,HD 20794 e,20.0,4.77 Earths,4.27,2017,Super Earth,2017,4.77 Earths,2.03 x Earth,0.509 AU,,,,,,,,,
679,HD 208487 b,144.0,0.52 Jupiters,7.471,2004,Gas Giant,2004,0.52 Jupiters,1.27 x Jupiter,0.524 AU,HATS-25,Transit,86.93,0.38,13h51m37.87s,-23d46m52.2s,5715.0,0.99,1.11
680,HD 208527 b,1026.0,9.9 Jupiters,6.4,2012,Gas Giant,2012,9.9 Jupiters,1.11 x Jupiter,2.1 AU,,,,,,,,,
681,HD 20868 b,156.0,1.25 Jupiters,9.92,2008,Gas Giant,2008,1.25 Jupiters,1.22 x Jupiter,0.95 AU,HATS-26,Transit,86.2,0.153,09h39m42.45s,-28d35m08.1s,6071.0,1.3,2.04
682,HD 208897 b,211.0,1.4 Jupiters,6.51,2017,Gas Giant,2017,1.4 Jupiters,1.21 x Jupiter,1.05 AU,,,,,,,,,
683,HD 209458 b,158.0,0.73 Jupiters,7.632,1999,Gas Giant,1999,0.73 Jupiters,1.39 x Jupiter,0.04707 AU,HATS-27,Transit,87.3,0.18,12h54m12.61s,-46d35m15.8s,6438.0,1.42,1.74
684,HD 210193 b,138.0,0.4817 Jupiters,7.823,2019,Gas Giant,2019,0.4817 Jupiters,1.27 x Jupiter,1.487 AU,,,,,,,,,
685,HD 210277 b,70.0,1.29 Jupiters,6.53,1998,Gas Giant,1998,1.29 Jupiters,1.22 x Jupiter,1.13 AU,HATS-28,Transit,86.17,0.48,18h57m35.92s,-49d08m18.5s,5498.0,0.93,0.92
686,HD 210702 b,177.0,1.808 Jupiters,5.93,2007,Gas Giant,2007,1.808 Jupiters,1.2 x Jupiter,1.148 AU,,,,,,,,,
687,HD 211810 b,211.0,0.67 Jupiters,8.59,2018,Gas Giant,2018,0.67 Jupiters,1.25 x Jupiter,2.656 AU,HATS-29,Transit,87.37,0.411,19h00m23.14s,-54d53m35.5s,5670.0,1.03,1.07
688,HD 211970 b,42.0,13 Earths,8.99,2019,Neptune-like,2019,13 Earths,0.327 x Jupiter,0.143 AU,,,,,,,,,
689,HD 212301 b,177.0,0.51 Jupiters,7.764,2005,Gas Giant,2005,0.51 Jupiters,1.27 x Jupiter,0.03 AU,HATS-3,Transit,86.2,0.51,20h49m49.79s,-24d25m43.7s,6351.0,1.21,1.4
690,HD 212771 b,364.0,2.39 Jupiters,7.6,2009,Gas Giant,2009,2.39 Jupiters,1.18 x Jupiter,1.19 AU,,,,,,,,,
691,HD 213240 b,133.0,5.58 Jupiters,6.814,2001,Gas Giant,2001,5.58 Jupiters,1.14 x Jupiter,1.89 AU,HATS-30,Transit,86.84,0.543,00h22m28.49s,-59d56m33.2s,5943.0,1.09,1.06
692,HD 213885 b,156.0,8.83 Earths,7.996,2019,Super Earth,2019,8.83 Earths,1.745 x Earth,0.02012 AU,,,,,,,,,
693,HD 213885 c,156.0,19.95 Earths,7.996,2019,Neptune-like,2019,19.95 Earths,0.42 x Jupiter,0.056798 AU,HATS-31,Transit,85.0,0.243,12h46m48.67s,-24d25m38.5s,6050.0,1.27,1.87
694,HD 21411 b,95.0,0.20734 Jupiters,7.885,2019,Gas Giant,2019,0.20734 Jupiters,0.85 x Jupiter,0.362 AU,,,,,,,,,
695,HD 214823 b,332.0,20.3 Jupiters,8.06,2016,Gas Giant,2016,20.3 Jupiters,1.08 x Jupiter,3.23 AU,HATS-32,Transit,87.1,0.58,23h04m18.02s,-21d16m19.0s,5700.0,1.1,1.1
696,HD 215152 b,70.0,1.819 Earths,8.11,2018,Super Earth,2018,1.819 Earths,1.19 x Earth,0.057638 AU,,,,,,,,,
697,HD 215152 c,70.0,1.72 Earths,8.11,2018,Super Earth,2018,1.72 Earths,1.17 x Earth,0.067393 AU,HATS-33,Transit,87.62,0.79,19h38m32.07s,-55d19m48.4s,5659.0,1.06,1.02
698,HD 215152 d,70.0,2.801 Earths,8.11,2018,Super Earth,2018,2.801 Earths,1.48 x Earth,0.08799 AU,,,,,,,,,
699,HD 215152 e,70.0,2.877 Earths,8.11,2018,Super Earth,2018,2.877 Earths,1.51 x Earth,0.15417 AU,HATS-34,Transit,82.28,0.4,00h03m05.88s,-62d28m09.6s,5380.0,0.95,0.98
700,HD 215497 b,132.0,6.3566 Earths,8.96,2009,Neptune-like,2009,6.3566 Earths,0.214 x Jupiter,0.05 AU,,,,,,,,,
701,HD 215497 c,132.0,0.33 Jupiters,8.96,2009,Gas Giant,2009,0.33 Jupiters,1.11 x Jupiter,1.282 AU,HATS-35,Transit,86.9,0.484,19h46m45.18s,-63d33m56.2s,6300.0,1.32,1.43
702,HD 216435 b,108.0,1.26 Jupiters,6.03,2002,Gas Giant,2002,1.26 Jupiters,1.22 x Jupiter,2.56 AU,,,,,,,,,
703,HD 216437 b,87.0,2.223 Jupiters,6.057,2002,Gas Giant,2002,2.223 Jupiters,1.19 x Jupiter,2.497 AU,HATS-36,Transit,,,19h25m54.89s,-23d12m10.1s,5950.0,1.1,1.1
704,HD 216536 b,1241.0,1.05 Jupiters,9.23,2015,Gas Giant,2015,1.05 Jupiters,1.23 x Jupiter,0.61 AU,,,,,,,,,
705,HD 216770 b,120.0,0.57 Jupiters,8.094,2003,Gas Giant,2003,0.57 Jupiters,1.26 x Jupiter,0.46 AU,HATS-37 A,Transit,89.33,0.55,13h19m12.4637s,-22d59m12.7306s,5326.0,0.84,0.88
706,HD 21693 b,106.0,8.23 Earths,7.95,2019,Neptune-like,2019,8.23 Earths,0.25 x Jupiter,0.1455 AU,,,,,,,,,
707,HD 21693 c,106.0,17.37 Earths,7.95,2019,Neptune-like,2019,17.37 Earths,0.387 x Jupiter,0.2586 AU,HATS-38,Transit,87.21,0.403,10h17m05.0796s,-25d16m34.5568s,5732.0,0.89,1.1
708,HD 217107 b,65.0,1.3 Jupiters,6.16,1998,Gas Giant,1998,1.3 Jupiters,1.22 x Jupiter,0.08 AU,,,,,,,,,
709,HD 217107 c,65.0,2.6 Jupiters,6.16,2005,Gas Giant,2005,2.6 Jupiters,1.18 x Jupiter,5.32 AU,HATS-39,Transit,84.98,0.202,07h29m40.63s,-29d56m16.4s,6572.0,1.38,1.62
710,HD 21749 c,53.0,3.7 Earths,7.87,2019,Super Earth,2019,3.7 Earths,0.892 x Earth,0.0695 AU,,,,,,,,,
711,HD 217786 b,179.0,13 Jupiters,7.8,2011,Gas Giant,2011,13 Jupiters,1.1 x Jupiter,2.38 AU,HATS-4,Transit,88.5,1.55,06h16m26.90s,-22d32m48.8s,5403.0,1.0,0.93
712,HD 217850 b,215.0,21.6 Jupiters,8.52,2018,Gas Giant,2018,21.6 Jupiters,1.08 x Jupiter,4.56 AU,,,,,,,,,
713,HD 218566 b,94.0,0.2 Jupiters,8.628,2010,Gas Giant,2010,0.2 Jupiters,0.832 x Jupiter,0.69 AU,HATS-40,Transit,85.8,0.49,06h42m17.10s,-29d46m36.5s,6460.0,1.56,2.26
714,HD 219077 b,95.0,10.39 Jupiters,6.12,2012,Gas Giant,2012,10.39 Jupiters,1.11 x Jupiter,6.22 AU,,,,,,,,,
715,HD 219134 b,21.0,4.74 Earths,5.57,2015,Super Earth,2015,4.74 Earths,1.602 x Earth,0.03876 AU,HATS-41,Transit,80.4,5.1,06h54m04.18s,-27d03m01.4s,6424.0,1.5,1.71
716,HD 219134 c,21.0,4.36 Earths,5.57,2015,Super Earth,2015,4.36 Earths,1.511 x Earth,0.0653 AU,,,,,,,,,
717,HD 219134 d,21.0,16.17 Earths,5.57,2015,Super Earth,2015,16.17 Earths,1.61 x Earth,0.237 AU,HATS-42,Transit,85.1,0.83,07h13m48.58s,-33d26m14.4s,6060.0,1.27,1.48
718,HD 219134 f,21.0,7.3 Earths,5.57,2015,Super Earth,2015,7.3 Earths,1.31 x Earth,0.1463 AU,,,,,,,,,
719,HD 219134 g,21.0,10.80622 Earths,5.57,2015,Neptune-like,2015,10.80622 Earths,0.293 x Jupiter,0.3753 AU,HATS-43,Transit,89.24,0.191,05h22m09.16s,-30d58m15.0s,5099.0,0.84,0.81
720,HD 219134 h,21.0,0.34 Jupiters,5.57,2015,Gas Giant,2015,0.34 Jupiters,1.14 x Jupiter,3.11 AU,,,,,,,,,
721,HD 219415 b,541.0,1 Jupiter,8.94,2012,Gas Giant,2012,1 Jupiter,1.23 x Jupiter,3.2 AU,HATS-44,Transit,84.65,0.56,05h37m18.41s,-27d58m21.4s,5080.0,0.86,0.85
722,HD 219666 b,308.0,16.6 Earths,9.65,2018,Neptune-like,2018,16.6 Earths,0.42 x Jupiter,0.06356 AU,,,,,,,,,
723,HD 219828 b,239.0,20.97678 Earths,8.04,2007,Neptune-like,2007,20.97678 Earths,0.433 x Jupiter,0.0507 AU,HATS-45,Transit,85.61,0.41,06h47m58.63s,-21d54m38.5s,6450.0,1.27,1.31
724,HD 219828 c,239.0,14.6 Jupiters,8.04,2016,Gas Giant,2016,14.6 Jupiters,1.09 x Jupiter,5.79 AU,,,,,,,,,
725,HD 220074 b,1068.0,16.64 Jupiters,6.4,2012,Gas Giant,2012,16.64 Jupiters,1.09 x Jupiter,1.6 AU,HATS-46,Transit,87.32,0.28,00h26m48.58s,-56d18m58.0s,5495.0,0.92,0.85
726,HD 220197 b,210.0,0.2 Jupiters,9.0,2018,Gas Giant,2018,0.2 Jupiters,0.832 x Jupiter,2.729 AU,,,,,,,,,
727,HD 220689 b,153.0,1.118 Jupiters,7.795,2012,Gas Giant,2012,1.118 Jupiters,1.23 x Jupiter,3.396 AU,HATS-47,Transit,87.08,0.331,19h09m56.2504s,-49d39m53.868s,4512.0,0.67,0.66
728,HD 220773 b,160.0,1.45 Jupiters,7.093,2011,Gas Giant,2011,1.45 Jupiters,1.21 x Jupiter,4.94 AU,,,,,,,,,
729,HD 220842 b,204.0,3.18 Jupiters,7.99,2016,Gas Giant,2016,3.18 Jupiters,1.17 x Jupiter,0.74 AU,HATS-48 A,Transit,89.58,0.589,19h14m41.2748s,-59d34m45.7571s,4546.0,0.73,0.72
730,HD 221287 b,183.0,3.09 Jupiters,7.807,2007,Gas Giant,2007,3.09 Jupiters,1.17 x Jupiter,1.25 AU,,,,,,,,,
731,HD 221416 b,310.0,0.19 Jupiters,8.146,2019,Gas Giant,2019,0.19 Jupiters,0.836 x Jupiter,0.1228 AU,HATS-49,Transit,88.27,0.986,00h26m27.1829s,-56d20m39.5352s,4405.0,0.71,0.7
732,HD 221420 b,102.0,9.7 Jupiters,5.81,2019,Gas Giant,2019,9.7 Jupiters,1.11 x Jupiter,18.5 AU,,,,,,,,,
733,HD 221585 b,182.0,1.61 Jupiters,7.465,2016,Gas Giant,2016,1.61 Jupiters,1.21 x Jupiter,2.306 AU,HATS-5,Transit,89.3,0.39,04h28m53.49s,-21d28m54.9s,5304.0,0.94,0.87
734,HD 222076 b,298.0,1.56 Jupiters,7.459,2016,Gas Giant,2016,1.56 Jupiters,1.21 x Jupiter,1.83 AU,,,,,,,,,
735,HD 222155 b,165.0,2.12 Jupiters,7.114,2011,Gas Giant,2011,2.12 Jupiters,1.19 x Jupiter,5.14 AU,HATS-50,Transit,87.54,0.33,20h01m42.60s,-26d04m39.3s,5990.0,1.17,1.12
736,HD 222582 b,138.0,8.37 Jupiters,7.68,1999,Gas Giant,1999,8.37 Jupiters,1.12 x Jupiter,1.34 AU,,,,,,,,,
737,HD 224538 b,258.0,5.97 Jupiters,8.06,2016,Gas Giant,2016,5.97 Jupiters,1.14 x Jupiter,2.28 AU,HATS-51,Transit,87.1,0.34,06h51m23.40s,-29d03m31.0s,5758.0,1.19,1.44
738,HD 224693 b,306.0,0.7 Jupiters,8.23,2006,Gas Giant,2006,0.7 Jupiters,1.25 x Jupiter,0.191 AU,,,,,,,,,
739,HD 22781 b,106.0,13.65 Jupiters,8.766,2011,Gas Giant,2011,13.65 Jupiters,1.1 x Jupiter,1.167 AU,HATS-52,Transit,84.7,1.06,09h20m21.05s,-31d16m09.6s,6010.0,1.11,1.05
740,HD 23079 b,109.0,2.61 Jupiters,7.12,2001,Gas Giant,2001,2.61 Jupiters,1.18 x Jupiter,1.6 AU,,,,,,,,,
741,HD 23127 b,307.0,1.527 Jupiters,8.576,2006,Gas Giant,2006,1.527 Jupiters,1.21 x Jupiter,2.37 AU,HATS-53,Transit,88.78,0.303,11h46m30.72s,-33d51m36.2s,5644.0,0.96,1.1
742,HD 231701 b,356.0,1.13 Jupiters,8.97,2007,Gas Giant,2007,1.13 Jupiters,1.22 x Jupiter,0.567 AU,,,,,,,,,
743,HD 233604 b,2833.0,6.575 Jupiters,10.406,2013,Gas Giant,2013,6.575 Jupiters,1.13 x Jupiter,0.747 AU,HATS-54,Transit,83.08,0.77,13h22m32.3724s,-44d41m19.6988s,5702.0,1.1,1.32
744,HD 233832 b,192.0,1.78 Jupiters,10.146,2018,Gas Giant,2018,1.78 Jupiters,1.2 x Jupiter,2.827 AU,,,,,,,,,
745,HD 23472 b,127.0,17.92 Earths,9.724,2019,Neptune-like,2019,17.92 Earths,0.395 x Jupiter,0.121 AU,HATS-55,Transit,86.32,0.587,07h37m08.0194s,-32d45m19.5158s,6214.0,1.2,1.13
746,HD 23472 c,127.0,17.18 Earths,9.724,2019,Neptune-like,2019,17.18 Earths,0.385 x Jupiter,0.17 AU,,,,,,,,,
747,HD 23596 b,170.0,9.03 Jupiters,7.244,2003,Gas Giant,2003,9.03 Jupiters,1.12 x Jupiter,2.77 AU,HATS-56,Transit,83.29,0.155,12h00m39.6300s,-45d47m57.9955s,6536.0,1.57,2.2
748,HD 238914 b,1720.0,6 Jupiters,8.79,2018,Gas Giant,2018,6 Jupiters,1.14 x Jupiter,5.7 AU,,,,,,,,,
749,HD 240210 b,466.0,5.21 Jupiters,8.33,2009,Gas Giant,2009,5.21 Jupiters,1.14 x Jupiter,1.16 AU,HATS-57,Transit,87.88,2.65,04h03m47.6005s,-19d03m24.3267s,5587.0,1.03,0.96
750,HD 240237 b,3126.0,15.89 Jupiters,8.19,2011,Gas Giant,2011,15.89 Jupiters,1.09 x Jupiter,1.92 AU,,,,,,,,,
751,HD 24040 b,152.0,3.86 Jupiters,7.493,2006,Gas Giant,2006,3.86 Jupiters,1.16 x Jupiter,4.92 AU,HATS-58 A,Transit,85.69,0.96,12h27m08.9729s,-48d58m42.2278s,7175.0,1.46,1.43
752,HD 24064 b,988.0,12.89 Jupiters,6.75,2015,Gas Giant,2015,12.89 Jupiters,1.1 x Jupiter,1.29 AU,,,,,,,,,
753,HD 24085 b,179.0,11.8 Earths,7.564,2019,Neptune-like,2019,11.8 Earths,0.309 x Jupiter,0.034 AU,HATS-59,Transit,88.1,0.7,11h21m18.00s,-22d23m17.4s,5670.0,1.04,1.04
754,HD 25015 b,122.0,4.48 Jupiters,8.87,2019,Gas Giant,2019,4.48 Jupiters,1.15 x Jupiter,6.19 AU,,,,,,,,,
755,HD 25171 b,182.0,0.915 Jupiters,7.782,2010,Gas Giant,2010,0.915 Jupiters,1.24 x Jupiter,2.971 AU,HATS-59,Radial Velocity,,,11h21m18.00s,-22d23m17.4s,5670.0,1.04,1.04
756,HD 2638 b,180.0,0.42 Jupiters,9.375,2005,Gas Giant,2005,0.42 Jupiters,1.28 x Jupiter,0.04 AU,,,,,,,,,
757,HD 2685 b,646.0,1.17 Jupiters,9.52,2019,Gas Giant,2019,1.17 Jupiters,1.44 x Jupiter,0.0568 AU,HATS-6,Transit,88.21,0.399,05h52m35.23s,-19d01m54.0s,3724.0,0.57,0.57
758,HD 26965 b,16.0,8.47 Earths,4.43,2018,Neptune-like,2018,8.47 Earths,0.254 x Jupiter,Unknown,,,,,,,,,
759,HD 27442 b,60.0,1.56 Jupiters,4.44,2000,Gas Giant,2000,1.56 Jupiters,1.21 x Jupiter,1.271 AU,HATS-60,Transit,86.28,0.537,22h45m27.3643s,-14d59m30.3457s,5688.0,1.1,1.46
760,HD 27631 b,164.0,1.494 Jupiters,8.243,2012,Gas Giant,2012,1.494 Jupiters,1.21 x Jupiter,3.242 AU,,,,,,,,,
761,HD 27894 b,143.0,0.665 Jupiters,9.349,2005,Gas Giant,2005,0.665 Jupiters,1.25 x Jupiter,0.125 AU,HATS-61,Transit,87.15,2.47,04h06m37.8676s,-25d20m58.9560s,5542.0,1.08,1.66
762,HD 27894 c,143.0,0.162 Jupiters,9.349,2017,Gas Giant,2017,0.162 Jupiters,0.735 x Jupiter,0.198 AU,,,,,,,,,
763,HD 27894 d,143.0,5.415 Jupiters,9.349,2017,Gas Giant,2017,5.415 Jupiters,1.14 x Jupiter,5.448 AU,HATS-62,Transit,87.92,0.076,20h49m47.8333s,-24d18m12.4965s,5416.0,0.9,0.93
764,HD 28185 b,129.0,5.9 Jupiters,7.81,2001,Gas Giant,2001,5.9 Jupiters,1.14 x Jupiter,1.02 AU,,,,,,,,,
765,HD 28254 b,178.0,1.16 Jupiters,7.684,2010,Gas Giant,2010,1.16 Jupiters,1.22 x Jupiter,2.15 AU,HATS-63,Transit,84.86,0.67,04h29m40.4529s,-28d11m50.2340s,5627.0,0.93,1.07
766,HD 285507 b,147.0,0.98 Jupiters,10.267,2013,Gas Giant,2013,0.98 Jupiters,1.23 x Jupiter,0.06 AU,,,,,,,,,
767,HD 285968 b,31.0,8.4 Earths,10.038,2008,Neptune-like,2008,8.4 Earths,0.253 x Jupiter,0.066 AU,HATS-64,Transit,87.24,0.245,09h37m09.0299s,-29d48m01.5746s,6554.0,1.56,2.11
768,HD 28678 b,623.0,1.542 Jupiters,8.38,2011,Gas Giant,2011,1.542 Jupiters,1.21 x Jupiter,1.18 AU,,,,,,,,,
769,HD 29021 b,101.0,2.4 Jupiters,7.76,2017,Gas Giant,2017,2.4 Jupiters,1.18 x Jupiter,2.28 AU,HATS-65,Transit,84.82,0.3,19h31m45.5518s,-26d44m24.7250s,6277.0,1.26,1.31
770,HD 290327 b,184.0,2.43 Jupiters,8.99,2009,Gas Giant,2009,2.43 Jupiters,1.18 x Jupiter,3.43 AU,,,,,,,,,
771,HD 2952 b,360.0,1.37 Jupiters,5.922,2013,Gas Giant,2013,1.37 Jupiters,1.21 x Jupiter,1.23 AU,HATS-66,Transit,87.06,2.34,06h45m34.7574s,-33d52m54.1300s,6626.0,1.41,1.84
772,HD 30177 b,182.0,8.622 Jupiters,8.397,2002,Gas Giant,2002,8.622 Jupiters,1.12 x Jupiter,3.704 AU,,,,,,,,,
773,HD 30177 c,182.0,7.6 Jupiters,8.397,2016,Gas Giant,2016,7.6 Jupiters,1.13 x Jupiter,9.89 AU,HATS-67,Transit,79.03,0.374,12h00m50.1183s,-46d08m11.1247s,6594.0,1.44,1.44
774,HD 30562 b,85.0,1.22 Jupiters,5.78,2009,Gas Giant,2009,1.22 Jupiters,1.22 x Jupiter,2.34 AU,,,,,,,,,
775,HD 30669 b,186.0,0.47 Jupiters,9.11,2014,Gas Giant,2014,0.47 Jupiters,1.27 x Jupiter,2.69 AU,HATS-68,Transit,83.21,0.856,01h00m01.4134s,-58d54m17.1247s,6147.0,1.35,1.75
776,HD 30856 b,430.0,1.547 Jupiters,7.91,2011,Gas Giant,2011,1.547 Jupiters,1.21 x Jupiter,1.85 AU,,,,,,,,,
777,HD 31253 b,190.0,0.62 Jupiters,7.133,2010,Gas Giant,2010,0.62 Jupiters,1.26 x Jupiter,1.26 AU,HATS-69,Transit,88.49,0.46,19h17m11.3641s,-60d53m30.0584s,5137.0,0.89,0.88
778,HD 31527 b,126.0,10.47 Earths,7.49,2019,Neptune-like,2019,10.47 Earths,0.288 x Jupiter,0.1254 AU,,,,,,,,,
779,HD 31527 c,126.0,14.16 Earths,7.49,2019,Neptune-like,2019,14.16 Earths,0.343 x Jupiter,0.2663 AU,HATS-7,Transit,87.92,0.83,13h55m25.68s,-21d12m27.7s,4985.0,0.85,0.81
780,HD 31527 d,126.0,11.82 Earths,7.49,2019,Neptune-like,2019,11.82 Earths,0.309 x Jupiter,0.8098 AU,,,,,,,,,
781,HD 3167 b,154.0,5.02 Earths,8.94,2016,Super Earth,2016,5.02 Earths,1.7 x Earth,0.0186 AU,HATS-70,Transit,86.7,6.64,07h16m25.08s,-31d14m39.86s,7930.0,1.78,1.88
782,HD 3167 c,154.0,9.8 Earths,8.94,2016,Neptune-like,2016,9.8 Earths,0.255 x Jupiter,0.1841 AU,,,,,,,,,
783,HD 3167 d,154.0,6.9 Earths,8.94,2017,Neptune-like,2017,6.9 Earths,0.225 x Jupiter,0.07757 AU,HATS-71,Transit,88.82,0.42,01h02m12.2812s,-61d45m21.6599s,3405.0,0.49,0.48
784,HD 32518 b,400.0,3.04 Jupiters,6.421,2009,Gas Giant,2009,3.04 Jupiters,1.17 x Jupiter,0.59 AU,,,,,,,,,
