,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2278,Kepler-1651 b,226.0,4.04 Earths,13.072,2017,Super Earth,2017,4.04 Earths,1.84 x Earth,Unknown,,,,,,,,,
2279,Kepler-1652 b,822.0,3.19 Earths,16.002,2017,Super Earth,2017,3.19 Earths,1.6 x Earth,0.1654 AU,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
2280,Kepler-1653 b,2463.0,5.35 Earths,15.429,2017,Neptune-like,2017,5.35 Earths,2.17 x Earth,0.4706 AU,,,,,,,,,
2281,Kepler-1654 b,1884.0,0.5 Jupiters,13.406,2018,Gas Giant,2018,0.5 Jupiters,0.819 x Jupiter,2.026 AU,K2-188,Transit,,,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19
2282,Kepler-1655 b,700.0,5 Earths,11.014,2018,Neptune-like,2018,5 Earths,2.213 x Earth,0.103 AU,,,,,,,,,
2283,Kepler-1656 b,610.0,0.15291 Jupiters,11.64,2018,Gas Giant,2018,0.15291 Jupiters,0.448 x Jupiter,0.197 AU,K2-188,Transit,,,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19
2284,Kepler-1658 b,2629.0,5.88 Jupiters,11.42,2019,Gas Giant,2019,5.88 Jupiters,1.07 x Jupiter,0.0544 AU,,,,,,,,,
2285,Kepler-165 b,1860.0,5.99 Earths,14.794,2014,Neptune-like,2014,5.99 Earths,0.207 x Jupiter,0.072 AU,K2-189,Transit,,,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87
2286,Kepler-165 c,1860.0,5.6 Earths,14.794,2014,Neptune-like,2014,5.6 Earths,2.23 x Earth,0.11 AU,,,,,,,,,
2287,Kepler-1661 b,1355.0,17 Earths,14.193,2020,Neptune-like,2020,17 Earths,0.345 x Jupiter,0.633 AU,K2-189,Transit,,,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87
2288,Kepler-1663 b,1113.0,10.9 Earths,15.616,2020,Neptune-like,2020,10.9 Earths,0.295 x Jupiter,Unknown,,,,,,,,,
2289,Kepler-1664 b,,9.45 Earths,13.531,2020,Neptune-like,2020,9.45 Earths,0.271 x Jupiter,Unknown,K2-19,Transit,89.47,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
2290,Kepler-1665 b,1105.0,8.44 Earths,13.591,2020,Neptune-like,2020,8.44 Earths,0.253 x Jupiter,Unknown,,,,,,,,,
2291,Kepler-1666 b,4679.0,8.66 Earths,15.015,2020,Neptune-like,2020,8.66 Earths,0.257 x Jupiter,Unknown,K2-19,Transit,87.99,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
2292,Kepler-1666 c,4679.0,10.5 Earths,15.015,2020,Neptune-like,2020,10.5 Earths,0.289 x Jupiter,Unknown,,,,,,,,,
2293,Kepler-1667 b,2082.0,9.19 Earths,13.446,2020,Neptune-like,2020,9.19 Earths,0.266 x Jupiter,Unknown,K2-19,Transit,85.83,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
2294,Kepler-1668 b,4522.0,17.4 Earths,15.677,2020,Neptune-like,2020,17.4 Earths,0.388 x Jupiter,Unknown,,,,,,,,,
2295,Kepler-1669 b,1800.0,8.15 Earths,15.909,2020,Neptune-like,2020,8.15 Earths,0.248 x Jupiter,Unknown,K2-190,Transit,88.357,,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91
2296,Kepler-166 b,2003.0,5.77 Earths,14.685,2014,Neptune-like,2014,5.77 Earths,0.203 x Jupiter,0.072 AU,,,,,,,,,
2297,Kepler-166 c,2003.0,6.26 Earths,14.685,2014,Neptune-like,2014,6.26 Earths,0.212 x Jupiter,0.195 AU,K2-190,Transit,88.977,,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91
2298,Kepler-166 d,2003.0,3.64 Earths,14.685,2016,Super Earth,2016,3.64 Earths,1.73 x Earth,Unknown,,,,,,,,,
2299,Kepler-1670 b,7171.0,11.2 Earths,15.42,2020,Neptune-like,2020,11.2 Earths,0.299 x Jupiter,Unknown,K2-191,Transit,87.051,,13h26m33.40s,-12d48m23.6s,5176.0,0.9,0.84
2300,Kepler-1671 b,1177.0,2.32 Earths,13.278,2020,Super Earth,2020,2.32 Earths,1.326 x Earth,Unknown,,,,,,,,,
2301,Kepler-1672 b,1290.0,9.11 Earths,12.396,2020,Neptune-like,2020,9.11 Earths,0.265 x Jupiter,Unknown,K2-192,Transit,,,13h46m19.75s,-11d33m22.5s,5222.0,0.9,0.81
2302,Kepler-1673 b,2423.0,8.93 Earths,13.599,2020,Neptune-like,2020,8.93 Earths,0.262 x Jupiter,Unknown,,,,,,,,,
2303,Kepler-1674 b,3399.0,10.4 Earths,15.478,2020,Neptune-like,2020,10.4 Earths,0.286 x Jupiter,Unknown,K2-193,Transit,,,13h40m56.89s,-11d00m33.5s,5817.0,1.01,0.98
2304,Kepler-1675 b,2165.0,9.93 Earths,13.554,2020,Neptune-like,2020,9.93 Earths,0.279 x Jupiter,Unknown,,,,,,,,,
2305,Kepler-1676 b,,11.3 Earths,13.377,2020,Neptune-like,2020,11.3 Earths,0.301 x Jupiter,Unknown,K2-194,Transit,89.065,,13h38m26.14s,-08d55m37.7s,5979.0,1.11,1.28
2306,Kepler-1677 b,2451.0,7.76 Earths,13.644,2020,Neptune-like,2020,7.76 Earths,0.241 x Jupiter,Unknown,,,,,,,,,
2307,Kepler-1678 b,2831.0,10.9 Earths,14.907,2020,Neptune-like,2020,10.9 Earths,0.295 x Jupiter,Unknown,K2-195,Transit,,,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99
2308,Kepler-1679 b,3042.0,4.93 Earths,15.114,2020,Super Earth,2020,4.93 Earths,2.069 x Earth,Unknown,,,,,,,,,
2309,Kepler-167 b,1076.0,3.24 Earths,14.0,2014,Super Earth,2014,3.24 Earths,1.615 x Earth,0.0483 AU,K2-195,Transit,88.537,,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99
2310,Kepler-167 c,1076.0,3.01 Earths,14.0,2014,Super Earth,2014,3.01 Earths,1.548 x Earth,0.0684 AU,,,,,,,,,
2311,Kepler-167 d,1076.0,1.83 Earths,14.0,2016,Super Earth,2016,1.83 Earths,1.194 x Earth,0.1405 AU,K2-196,Transit,88.274,,13h21m49.52s,-08d28m18.2s,6045.0,1.16,1.54
2312,Kepler-167 e,1076.0,0.231 Jupiters,14.0,2016,Gas Giant,2016,0.231 Jupiters,0.906 x Jupiter,1.89 AU,,,,,,,,,
2313,Kepler-1680 b,1021.0,2.42 Earths,13.693,2020,Super Earth,2020,2.42 Earths,1.36 x Earth,Unknown,K2-197,Transit,,,13h29m34.48s,-07d22m26.4s,5667.0,1.0,0.93
2314,Kepler-1681 b,2128.0,7.05 Earths,14.557,2020,Neptune-like,2020,7.05 Earths,0.228 x Jupiter,Unknown,,,,,,,,,
2315,Kepler-1682 b,3907.0,8.7 Earths,15.678,2020,Neptune-like,2020,8.7 Earths,0.258 x Jupiter,Unknown,K2-198,Transit,88.904,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
2316,Kepler-1683 b,2442.0,4.17 Earths,14.843,2020,Super Earth,2020,4.17 Earths,1.875 x Earth,Unknown,,,,,,,,,
2317,Kepler-1684 b,2065.0,8.6 Earths,15.765,2020,Neptune-like,2020,8.6 Earths,0.256 x Jupiter,Unknown,K2-198,Transit,86.494,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
2318,Kepler-1685 b,3845.0,7.16 Earths,15.906,2020,Neptune-like,2020,7.16 Earths,0.23 x Jupiter,Unknown,,,,,,,,,
